id,date,city,state,type,ideology,subideology,group,description,image
49720,7/26/2023,Scottsville,NY,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""The Way to Victory, White Solidarity.""",
51020,7/26/2023,Brea,CA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""For the nation, against the state,"" ""America first"" and ""Free occupied America.""",
51039,7/26/2023,Valley Center,CA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""American by blood,"" ""America first,"" ""Defend American labor"" and ""United we stand.""",
51041,7/26/2023,Breckenridge,CO,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""For a new American nation state,"" ""United we stand,"" ""Strong families, strong nations"" and ""Free occupied America.""",
51073,7/26/2023,Branford,CT,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, hung a banner from an overpass with a link to its website and a message that read: ""Life, liberty, victory.""",
51111,7/26/2023,Plainfield,IL,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""America first,"" ""For a new American nation state,"" ""Free occupied America"" and ""Not stolen, conquered.""",
51112,7/26/2023,Chicago,IL,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""Better dead than red,"" ""Forward for a new American nation state,"" ""United we stand"" and ""Not stolen, conquered.""",
51116,7/26/2023,Belleville,IL,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""Better dead than red,"" ""For a new American nation state,"" ""For the nation, against the state"" and ""Strong families, strong nations.""",
51158,7/26/2023,Blackstone,MA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""For a new American nation state,"" ""Reclaim America,"" ""Reject poison"" and ""Not stolen, conquered.""",
51172,7/26/2023,Three Rivers,MI,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""Strong families, strong nations"" and ""For the nation, against the state.""",
